data_id	Project Title	Start Year	End Year	ISO3 Code	Region	Country	Client/ Donor	M&E	Public Financial Management and Fiscal Sustainability	Brief Description	Point of contact	Email	Phone	Is Current Project? (true/false)	Practice Area	projects_slug	Prime	Contract Value USD	Contract Number	Sub	Education, Gender, and Youth Development	Knowledge Management and Data Analytics	Link	Security, Transparency, and Governance	Document Title	Energy and Environment	Subcontract Number/Order Number/Grant Number	Link to the document file
182	Summative Performance Evaluations for the Office of Global Women’s Issues of the Secretary’s Innovative Small Grants Programs	2012	2015	KEN, TZA, IND	Africa	Kenya, Tanzania, India	U.S. Department of State	x		The Office of Global Women’s Issues (S/GWI) works to increase women’s and girls’ access to education and healthcare, to combat violence against girls in all its forms, and to ensure that women’s rights are fully integrated in the development of U.S. foreign policy. To ensure that these goals are being met, S/GWI contracted DevTech Systems, Inc. to conduct performance evaluations of two programs: the What to Expect Foundations’ Women’s Health Innovation Program (in Bangladesh and Liberia) and the Secretary’s Innovation Award program – which includes three different programs located in Kenya, Tanzania, and India. DevTech is also assisting S/GWI to conduct retrospective evaluations of various grantees.	Brian Efird		202-903-3975	No	Monitoring and Evaluation~Education, Gender and Youth	Summative-Performance-Evaluati	x	386447.57	SAQMMA12Q0185	Public Health Institute	x							
183	Asia Pacific Economic Cooperation Women in Transportation Program Technical Assistance	2012	2013	VNM, IDN, JPN, HKG	Asia	Vietnam, Indonesia, Japan, Hong Kong	U.S. Department of Transportation	x		DevTech provided support to the U.S. Department of Transportation’s Women in Transportation Initiative as it relates to the department’s work to support the Asia Pacific Economic Cooperation (APEC) Transportation working group. The goal was to develop and implement a plan of action that addresses gender-related concerns in the transportation sector in the APEC region. APEC is the premier Asia-Pacific economic forum with the goal of supporting sustainable economic growth and prosperity in the Asia-Pacific region. As part of the initiative, DevTech examined the barriers to women’s sustained participation in transportation activities at all levels in both the public and private sectors.				No	Monitoring and Evaluation	Asia-Pacific-Economic-Cooperat	x	230833.00	DTOS59-12-P-00105									
184	Economic Analysis and Data Services (EADS II)	2012	2018		Global	Global	USAID		x	DevTech manages USAID's Economic Analysis and Data Services (EADS), the Chief Information Officer's initiative to provide U.S. Agency for International Development (USAID) employees with quick and easy access to development data and quantitative analytical support. EADS maintains several specialized websites, which provide access to thousands of statistical series covering all aspects of the development process along with data analysis tools.In September 2013, DevTech was awarded an add-on to the EADS project. The Microenterprise Accountability and Results Tracking Activity is a four-year activity designed to assist USAID/E3 office to respond to the congressionally-mandated reporting on the status of the agency's microenterprise work each year, while also making the information collected publicly available.The EADS Websites include the Trade Capacity Building Database, the U.S. Official Development Assistance Database, and the U.S. Overseas Loans and Grants (Greenbook).				Yes	Education, Gender and Youth~Public Financial Management and Fiscal Sustainability~Knowledge Management and Data Analytics	Economic-Analysis-and-Data-Ser	x	21852354.00	AID-CIO-M-12-00005		x	x						
185	USAID/Guatemala Final and Mid-Term Performance Evaluation for Economic Growth Office Assorted Projects	2012	2012	GTM	Latin America and the Caribbean	Guatemala	USAID	x		From August 2012 – October 2012, DevTech led an evaluation of six projects for USAID/Guatemala, including four final evaluations and two mid-term evaluations.The end-of-project performance evaluations for four rural value chain projects were:the Access to Dynamic Markets for Rural Small and Medium Enterprises project implemented by the Guatemalan Association of Exporters (AGEXPORT),the Competitive Enterprises in Coffee project with the National Coffee Association (ANACAFE),the Forestry Enterprises in Guatemala project with Rainforest Alliance,Guatemala Community Tourism Alliance with Counterpart International.The mid-term performance evaluations of two ongoing projects were:the Inclusive Market Alliance for Rural Entrepreneurs (IMARE) project, a public-private partnership between USAID and Mercy Corps/Wal-Mart for horticultural value chains;TIERRAS Land Conflict Resolution project implemented by Mercy Corps in the departments of Alta Verapaz and Quiche.This evaluation analyzed the effectiveness of USAID/Guatemala Economic Growth Office agricultural and environmental value chain projects at the strategic and individual project levels to validate or improve USAID’s approach and to learn from results. The project evaluations looked at the high-level results as they related to each project’s objectives, and looked to inform new project implementation under the new five-year Country Development and Cooperation Strategy (CDCS), as well as heavily influence upcoming FtF and GCC strategy implementation.For the each project evaluation, DevTech and its partner, AMEX International, utilized the methods of document review, interviews, field visits, and a review of quantitative data. For the mid-term projects, this evaluation was able to demonstrate to USAID/Guatemala what is not working and why, provided recommendations to the Mission as to what should be adjusted or eliminated, and also made suggestions as to how to increase the sustainability for this project. For the end-of-project evaluations, the Team was able to provide USAID/Guatemala with information regarding the projects meeting their objectives, as well as recommendations on how future projects could meet the Mission’s Feed the Future Multi-year Strategy. This evaluation also looked at the level of gender integration for each project.				No	Monitoring and Evaluation	USAIDGuatemala-Final-and-Mid-	x		AID-RAN-I-00-09-008/AID-520-TO-12-00001				http://pdf.usaid.gov/pdf_docs/pdacu507.pdf		USAID/Guatemala Mid-Term performance evaluations for two Economic Growth Office projects: final report			Link
186	Dominican Republic Tri-Project Evaluation	2012	2013	DOM	Latin America and the Caribbean	Dominican Republic	USAID	x	x	The DR Tri-Project aimed at providing an integrated evaluation of the three USAID/Dominican Republic funded projects: (1) the DR Caribbean Free Trade Agreement Implementation Project (DR-CAFTA IP); (2} the Rural Economic Diversification Project (USAID/RED); and (3) the Dominican Sustainable Tourism Alliance Project (USAID/DSTA). These evaluations provided an overall assessment of the accomplishments and impact of the Mission's Economic Growth program. In addition, each individual evaluation has served as a mid-term assessment of project implementation, measuring against targets and deliverables. This activity included an impact evaluation component that allowed USAID/DR and its implementing partners to make mid-course corrections and aided USAID/DR to assess how support to the Dominican economy has increased sustainable economic opportunities for the poor and has achieved improved conditions for a more competitive economy.In partnership with AMEX International, DevTech conducted a formative evaluation of three USAID economic growth projects in the Dominican Republic (DR). The DR Tri Project Evaluation evaluated the: (i)Dominican Republic Caribbean Free Trade Agreement Implementation Program (DR-CAFTA IP); (ii) Rural Economic Diversification (USAID/RED); (iii) Dominican Sustainable Tourism Alliance Program (DSTA) The project also produced an integrated evaluation of the collective effects of all three programs.				No	Monitoring and Evaluation~Public Financial Management and Fiscal Sustainability	Dominican-Republic-Tri-Project	AMEX	212291.00	RAN-I-00-09-00008 / AID-517-TO-11-00001	x								Link
187	Education Portfolio Mid-Term Performance Review	2012	2013	DOM	Latin America and the Caribbean	Dominican Republic	USAID			DevTech, along with partner AMEX, conducted an evaluation of the USAID/Dominican Republic Education Portfolio. The evaluation consisted of two large, ongoing projects (the Effective Schools Program and the Basic Education Program), as well as additional activities included in the portfolio (the Out-of-School and At-Risk Youth and Children Program, the Batey Community Development project, and the Major League Baseball Dominican Development Alliance).	USAID/Dominican Republic education portfolio mid-term performance evaluation : integrated report			No	Education, Gender and Youth	Education-Portfolio-Mid-Term-P	AMEX	201038.00	RAN-I-00-09-00008	x	x							Link
188	Evaluation of the International Narcotics and Law Enforcement Affairs (INL) Rule of Law Programs in Colombia	2012	2013	COL	Latin America and the Caribbean	Colombia	USAID	x		The purpose of the evaluation of the Bureau of International Narcotics and Law Enforcement Affairs (INL) Rule of Law Programs in Colombia is to assess the effectiveness of the Justice Sector Reform Program (JSRP) relative to the goals and objectives in the planning documents. It is a retrospective evaluation, limited to program activities between 2008 and 2011. The primary audience for the evaluation is the INL Office of Western Hemisphere Programs in Washington and the INL section of the US Embassy in Colombi. The evaluation SOW calls for evidence-based findings and conclusions to assess the impact of the INL Justice Sector Reform Program in Colombia between 2008 and 2011. Given the diversity among the six evaluation questions and the range of project goals, the Evaluation Team used a mixed methods approach to elicit both qualitative and quantitative data drawn from multiple sources. To the extent that data were available, the evaluation used 2008 as the base year for identifying change across the four-year period. Analytically, to the extent possible, the evaluation used the technique of triangulation to validate findings by drawing on comparative data from two or more sources as evidence.	Sara Collins	CollinsSE@STATE.GOV	703 87 54889	No	Monitoring and Evaluation~Security, Transparency, and Governance	Evaluation-of-the-Internationa	x	318473.00	SINLEC12F0057					x				Link
189	USAID/Guatemala Monitoring and Evaluation Program	2013	2018	GTM	Latin America and the Caribbean	Guatemala	USAID	x		In January 2013, DevTech was awarded a $14.7 million 5-year contract to provide set up and manage USAID/Guatemala’s Monitoring and Evaluation Program. This contract will provide activity-level monitoring and evaluation services designed to provide qualitative and/or quantitative analyses and reviews of specific Mission activities and programs. DevTech is the prime holder of a mission-wide Monitoring and Evaluation support contract for USAID that provides ongoing technical assistance and monitoring and evaluation support to the USAID Economic Growth Office (EGO). The program contributes to shaping longer-term strategic direction and decision making, particularly regarding the implementation of the Feed the Future and Global Climate Change initiatives. The program’s ultimate goal is to develop a monitoring and evaluation (M&E) mechanism that provides continued performance monitoring, verification and impact evaluation of program results, including environmental compliance. DevTech has provided USAID with the M&E services that increased the U.S. Government’s effectiveness in implementing its new strategy, while strengthening and institutionalizing local capacity in M&E. The program components consisted of: (1) designing statistical tools for baseline, mid- and final-term data collection; (2) developing local capacity of Guatemalan institutions for M&E; (3) establishing a clearinghouse for M&E; (4) conducting evaluations and ensuring the reporting of the results; and (5) providing M&E services to other USAID/Guatemala offices.				Yes	Monitoring and Evaluation	USAIDGuatemala-Monitoring-and	x	14752983.31	AID-520-C-13-00001									
190	Monitoring and Evaluation of the Bureau of International Narcotics and Law Enforcement Affairs (INL) Caribbean Basin Security Initiative Program (CBSI)	2013	2015	COL	Latin America and the Caribbean	Colombia	U.S. Department of State	x		DevTech worked with INL to develop and implement a monitoring system for the INL programs under the Caribbean Basin Security Initiative (CBSI) and conducted mid-term and summative evaluations of the INCLE-funded programs that are part of this initiative.	Natalie Donahue			No	Monitoring and Evaluation~Security, Transparency, and Governance	Monitoring-and-Evaluation-of-t	x	712018.00	SAQMMA13F3110					x				Link
191	Community Action for Reading and Security (CARS) Activity in Nicaragua	2013	2019	NIC	Latin America and the Caribbean	Nicaragua	USAID			DevTech is currently implementing the four-year USAID-funded Community Action for Reading and Security (CARS) Activity in Nicaragua. The purpose of CARS is to improve early grade reading outcomes and contribute to reducing citizen insecurity in five municipalities of the Region Autonoma Atlantica Sur in Nicaragua, where both education and crime statistics lag behind the national averages. DevTech is working in close partnership with local organizations to implement an evidence-based approach to conduct activities at the municipal, community, and school level to transition to a local-led model to educational development and citizen security.				Yes	Education, Gender and Youth	Community-Action-for-Reading-a	x	13195858.00	AID 524-C-13-00001.		x							Link
192	Evaluation of the Bureau of South and Central Asian Affairs’ Women’s Economic Symposium (WES) Initiative	2013	2013	AFG, KAZ, KGZ, UZB	Middle East	Afghanistan, Kazakhstan, Kyrgyzstan, Uzbekistan	U.S. Department of State	x		DevTech conducted a mid-term evaluation of the WES to determine what the initiative has achieved thus far, and how the design and implementation of this initiative have impacted early results.				No	Monitoring and Evaluation~Education, Gender and Youth	Evaluation-of-the-Bureau-of-So	x	104949.00	SAQMMA13R0045 / SAQMM13F0460		x							
193	Evaluation of the Bureau of Intelligence and Research (INR) Products and Services	2013	2013	USA	North America	USA	U.S. Department of State	x		The INR Bureau is a key stakeholder in the Intelligence Community that works to ensure that well-informed and independent analysis informs policy decisions and that intelligence and counterintelligence activities support America’s foreign policy. DevTech and its partner, the Center for Organizational Excellence, conducted interviews with users of INR’s products and services to determine what the Bureau needs to do to improve and the timeliness and usefulness of its reports.	Patrick T. Dermidoff	dermidoffpt@state.gov	703-516-1828	No	Monitoring and Evaluation~Knowledge Management and Data Analytics	Evaluation-of-the-Bureau-of-In	x	50468.00	SAQMMA-12-F-4748			x						Link
194	Curriculum Development Assessment for the Foreign Service Institute	2013	2013	USA	North America	USA	U.S. Department of State	x		DevTech completed the data collection process and interviewed Washington-based FTC, DOJ, and USAID staff before fielding a three-person team to gather data and conduct structured interviews with antimonopoly staff, judges, attorneys, and representatives of consumer organizations in the four cooperating countries. USAID in-country staff, contractor staff of related projects, and other donor agency staff were also interviewed. The team then conducted follow-up interviews with Washington-based staff. The final report contained specific recommendations for the transfer of major components of FTC/DOJ technical assistance to other programs. The Foreign Service Institute (FSI) is the U.S. Department of State's training bureau and the U.S. Government's primary training institution for the U.S. foreign affairs community. DevTech is currently working with FSI to perform a baseline assessment using appreciative inquiry methods in order to provide recommendations for a comprehensive approach to curriculum development for all four schools within FSI as well as the Transition Center.	Erin William	williamsee3@state.gov		No	Monitoring and Evaluation~Education, Gender and Youth~Knowledge Management and Data Analytics	Curriculum-Development-Assessm	x	157768.00	SFSIAQ13F0110		x	x						Link
195	Educational Technology Assessment for the Foreign Service Institute	2013	2014	USA	North America	USA	U.S. Department of State	x		The Foreign Service Institute (FSI) is the U.S. Department of State's training bureau and the U.S. Government's primary training institution for the U.S. foreign affairs community. DevTech is worked with FSI to provide assistance and recommendations for enhancing and streamlining FSI's adoption and integration of state-of-the-art educational technologies in order to maximize the Institute's training effectiveness on a global scale.	Erin William	williamsee3@state.gov		No	Monitoring and Evaluation~Education, Gender and Youth	Educational-Technology-Assessm	x	100276.00	SFSIAQ13F0115		x							Link
196	Partnership for Education: Monitoring and Evaluating Support Services activity	2014	2015	GHA	Africa	Ghana	USAID	x						No	Monitoring and Evaluation~Education, Gender and Youth	Partnership-for-Education:-Mon	x	25000.00	AID-641-B-15-00006		x							Link
197	Evaluation of the Education Support Program (ESP) and the Cairo Scholarship Initiative Program (CISP)	2014	2015	EGY	Africa	Egypt	USAID	x		Evaluation of ESP:The USAID/Egypt Education Support Program (ESP) was a three-year nationwide activity of support to the Ministry of Education (MOE) to restore stability and build the quality of the public education system in the period immediately following the January 2011 revolution. At the conclusion of the ESP (January 31, 2015), USAID/Egypt contracted DevTech Systems Inc. (DevTech) and its subcontractor The QED Group, LLC (QED) to conduct the final performance evaluation of the program.  The evaluation objectives were: (1) to review analyze, and evaluate the effectiveness of USAID-funded ESP activities in achieving program objectives and completing deliverables; and, (2) to provide specific recommendations and lessons learned to ensure that future funding for capacity-building in the areas for Boards of Trustees (BOTs), teacher training, and remedial reading are directed to activities that have the highest potential to achieve improved and sustainable resultsEvaluation of CISP:To effectively implement the CIS evaluation, DevTech has partnered with QED to form the DevTech Team – an integrated team with combined knowledge of the local context of Egypt and successfully conducting evaluations in the education sector. To conduct this evaluation, the DevTech Team has nominated a combination of home office staff, and both American and Egyptian consultants with experience in evaluating higher education projects to effectively and efficiently carry out the evaluation.The purposes of this evaluation were to: (1) identify the Cairo Initiative’s strengths and weaknesses and make any corrections needed, (2) review, analyze, and evaluate the USAID-funded Cairo Initiative in terms of achieving program objectives, and (3) provide findings and recommendations to be used by the Government of Egypt and USAID to help in future designs of human capacity-building projects.For this performance evaluation, a mixed-methods approach was used to collect and analyze primary and secondary source data. The methods consisted of: a literature review, key informant interviews, group discussions, and an opinion survey. Data were triangulated and the team ensured that primary data took account of a set of variables (e.g., type of organization). The evaluation team interviewed 97 from a range of CISP target organizations and stakeholder organizations. The team visited four targeted organizations including two universities and two ministries.  In addition, the team invited all alumni and current CISP scholars to respond to an online survey. A total of twelve Conclusions were generated to answer the Evaluation Questions. These twelve conclusions are supported by twenty (20) Findings distributed across the Evaluation Questions, and recommendations were provided.				No	Monitoring and Evaluation~Education, Gender and Youth	Evaluation-of-the-Education-Su	QED	325489.00	AID-263-O-15-00009	x	x							Link
198	APEC Laboratory Capacity Building Evaluation	2014	2015		Asia	Asia	USDA Foreign Agricultural Service	x		DevTech conducted a range of data collection activities, including reviews of training curricula, assessments of activities in online training websites, and face-to-face interviews with food safety professionals from APEC member countries. DevTech’s assessment of online activity provided to-the-day information on hit counts, page visits, online training downloads, and other indicators of utilization of APEC web-based resources among food safety professionals in member countries	Angela Garcia		202-690-5403	No	Monitoring and Evaluation~Knowledge Management and Data Analytics	APEC-Laboratory-Capacity-Build	x	173483.00	AG-3151-P-14-0257			x	http://www.sbaic.org/devtech-evaluation-apec-laboratory-capacity-program-collaboration-and-learning-food-safety		DevTech Evaluation of the APEC Laboratory Capacity Program: Collaboration and Learning in Food Safety			
199	Assistance to Basic Education: All Children Reading (IDIQ)	2014	2019		Global		USAID			This contract between DevTech and the United States Agency for International Development is to assist USAID missions, bureaus, and other operating units in achieving the strategic objectives of goal one of the USAID Education Strategy 2011-2015: Improved Reading Skills for 100 million Children in Primary School.				Yes	Education, Gender and Youth	Assistance-to-Basic-Education:			AID-OAA-I-14-00057		x							
200	Managing Natural Resource Wealth Topical Trust Fund	2014	2015		Global	Global	International Monetary Fund	x		DevTech undertook an evaluation, designed to focus on efficiency, effectiveness and continued relevance of the Managing Natural Resource Wealth Topical Trust Fund (MNRW TTF) launched by the International Monetary Fund (IMF), with the aim of improving operations through the end of the cycle. The evaluation cover launched, underway and completed activities covering a three-year period, 34 country programs, five research projects and four workshops. Because the evaluation covered activities that had been implemented three year prior, the emphases included learning aspects and accountability considerations, emerging impacts, and factors affecting expected impacts. The evaluation methodology was designed as a bottom-up approach where each project was assessed using questions grouped according to the DAC criteria. The questions were customized to reflect the features of the TTF and the characteristics of the countries receiving TTF TA. The team developed an evaluation matrix to demonstrate linkages between key evaluation questions and data sources and then processed and analyzed information collected from a variety of sources including project proposals and project assessments, including baseline information and quantitative and qualitative indicators; mid-year and annual reports produced by MNRW TTF, the logical framework and relevant financial data; feedback from IMF staff and experts, SC members and staff of relevant institutions in selected beneficiary countries; findings of the Fiscal Analysis of Resource Industries (FARI); macroeconomic and statistical data and analysis produced by the IMF Statistics and area departments as relevant; and country visits to Kenya, Mongolia and Tanzania. Findings were then triangulated to ensure consistency and validity.				No	Monitoring and Evaluation~Energy and Environment	Managing-Natural-Resource-Weal	x	150438.00	IMF01-2605							x		
201	Monitoring and Evaluation of Latin America and the Caribbean Regional Security Initiative Programs (CARSI)	2014	2016	SLV, GTM, HND, PAN	Latin America and the Caribbean	El Salvador, Guatemala, Honduras, Panama	U.S. Department of State	x		For the INL’s Central America Regional Security Initiative (CARSI) task order, DevTech supported the Office of Western Hemisphere to develop a systematic data collection mechanism and procedure to facilitate the regular monitoring of CARSI programs and conducted evidence-based evaluations of program progress to determine the effectiveness in meeting goals and objectives, identify lessons learned, and provide timely analysis for effective management decisions. The evaluations focused on El Salvador, Guatemala, Honduras, and Panama. DevTech also developed the monitoring system using InfoPath so that it remains compliant with INL’s security and information technology system requirements. CARSI has implemented program activities aimed at three core outcomes: 1. Disrupting criminal infrastructure, routes, and networks; 2. Building the capacity of law enforcement and justice sector actors and institutions to serve citizens and address regional threats3. Advancing community policing, gang prevention, and economic and social programming for at-risk youth in communities disproportionately impacted by crime.				No	Monitoring and Evaluation~Security, Transparency, and Governance	Monitoring-and-Evaluation-of-L	SSG	618966.00	SAQMMA12D0084	x				x				
202	Lebanon Security Assistance Program - Evaluation and Monitoring Services	2014	2015	LBN	Middle East	Lebanon	U.S. Department of State				Diane K Hill	hilldk@state.gov	571-345-0144	No	Education, Gender and Youth	Lebanon-Security-Assistance-Pr	x	576712.52	SAQMMA14F1681		x							
203	Ghana Partnership for Education and M&E Support Services in the Education Sector (IDIQ)	2014	2019	GHA	Africa	Ghana	USAID	x		The purpose of this task order is to procure services to support USAID/Ghana's Partnership for Education: Early Grade Reading Performance Management and Learning activity. The purpose of the activity is to create the conditions to enable the USAID/Ghana Education Office to design and implement a comprehensive performance management, monitoring and evaluation, knowledge management and reporting system.				Yes	Monitoring and Evaluation~Education, Gender and Youth	Ghana-Partnership-for-Educatio	x		AID-614-B-15-00006		x							
204	Performance Evaluation of the USAID/Egpyt Trade Facilitation Project (TFP)	2015	2016	EGY	Africa	Egypt	USAID/Egypt	x		The purpose of this performance evaluation was to assist USAID/Egypt and USAID/Washington in informing decisions regarding: (a) the effectiveness of TFP’s approach to improving the export capacity of Egyptian Small and Medium Enterprises (SMEs) and the sustainability of these improvements; (b) the effectiveness of policy-related technical assistance to the Government of Egypt (GOE); and (c) the nature and scope of possible future export promotion projects based on lessons learned from TFP.  A five-person DevTech Systems, Inc., (DevTech) evaluation team conducted the performance evaluation in Egypt between October 2, 2015, and November 12, 2015. All team members were native Arabic speakers other than the team leader, who has extensive experience in project evaluation, including four previous studies in Egypt. The team used tailored questionnaires for targeted beneficiary SMEs, assisted energy efficiency firms, stakeholders, export consortium groups and project trainers. Overall, the team interviewed 31 (out of 140) SMEs, 10 (out of 28) energy efficiency firms, 15 (out of 18) stakeholders, 2 (out of 2) export consortium groups, and 6 (out of 11) project trainers.					Monitoring and Evaluation~Education, Gender and Youth	Performance-Evaluation-of-the	QED	188560	AID-263-I-15-00001	x	x							
205	Comprehensive Evaluation of the Bureau of Counterterrorism (CT) Antiterrorism Assistance (ATA) Program (Indonesia)	2015	2017	IDN, JOR, NER	Africa	Indonesia, Jordan, Niger	U.S. Department of State	x		Since early October of 2015 DevTech Systems, Inc. (DevTech) has been working closely with the Bureau of Counterterrorism (CT) and the Bureau of Diplomatic Security (DS) on the Comprehensive Evaluation of the Bureau of Counterterrorism (CT) Antiterrorism Assistance (ATA) Program (SAQMMA15F3863).The purpose of the contract was to conduct  a three-phase evaluation of the ATA program:Phase 1) Theory of Change:  A review of the ATA program’s role in serving policy priorities and the underlying assumptions, theory of change and overarching strategic objectives that guide ATA’s planning of program’s activities and focus areas; Phase 2) Results and Impact:  A performance evaluation seeking to identify the results of ATA programming;Phase 3) Cost-Effectiveness:  A review of the cost effectiveness and administration of the ATA program. The ATA country programs in Jordan, Niger, and Indonesia were selected as case studies.	Diane K. Hill	hilldk@state.gov	571-345-0144	No	Monitoring and Evaluation~Security, Transparency, and Governance	Comprehensive-Evaluation-of-th	x	524163.00	SAQMMA15F3863					x				Link
206	Egypt Services to Improve Performance Management, Enhance Learning and Evaluation (SIMPLE) IDIQ Contract	2015	2016	EGY	Africa	Egypt	USAID/Egypt	x						No	Monitoring and Evaluation	Egypt-Services-to-Improve-Perf	QED	778885.00	AID-263-I-15-00001	x								
207	Evaluation of the Effectiveness of PRM-Supported Programs to Build the Capacity of Colombian Municipal Authorities to Assist Internally Displaced Persons	2015	2016	COL	Latin America and the Caribbean	Colombia	U.S. Department of State	x		The primary purpose of this evaluation was to assess to what extent the U.S. Department of State of Bureau Population, Refugees, and Migration (PRM)-supported capacity building programs, implemented over the FY12 to FY15 period by Global Communities, International Relief and Development, and Mercy Corps, have contributed to improving the response of municipal authorities to assist internally displaced persons (IDPs). The evaluation combined quantitative and qualitative data collection and analysis from documents reviewed as well as interview and focus group data collected during fieldwork. Fieldwork was conducted between January and February 2016 in Bogotá, Popayán, Mocoa, Puerto Asis, and Cúcuta. The DevTech evaluation team conducted a total of 62 semi-structured key informant interviews and focus groups with 170 individuals; 54 of these interviews were PRM-program related. The other eight meetings that were held included international donors and a Constitutional Court official focused on IDPs as well as international organizations and donors working in Colombia. Prior to the commencing fieldwork, the evaluation team conducted eight meetings, mostly by phone, with PRM staff  in Washington, DC and Bogotá, PRM’s NGO implementing partner staff, and seven meetings with practitioners and academics.				No	Monitoring and Evaluation	Evaluation-of-the-Effectivenes	X	230315.00	SAQMMA15F3341									
208	Evaluation for Power Sector Program (PSP)	2015	2016		Latin America and the Caribbean	Latin America and the Caribbean	U.S. Department of State	x		The purpose of the PSP evaluation was to help the Bureau of Energy Resources determine the effectiveness of PSP activities and to identify lessons learned for PSP management decisions going forward. DevTech Systems was tasked with addressing: the effectiveness of ENR coordination with PSP stakeholders; the usefulness of PSP activities to benefitting governments and lessons learned for recommending changes to future PSP programming. The evaluation focused on the time period from early 2013, when ENR launched the PSP, to the end of calendar year 2015, roughly the third year of implementation. Based on the statement of work, the DevTech Evaluation Team developed a PSP Evaluation Management Plan. The evaluation was conducted over a four-month period from November 2015 to March 2016 by a four-member team of evaluation specialists and energy experts. Activities evaluated largely focused on promoting increased integration of power sectors across different countries, as well as fostering the generation of electricity from alternative (renewable) energy sources.				No	Monitoring and Evaluation~Energy and Environment	Evaluation-for-Power-Sector-Pr	x	148748.00	SAQMMA15F2671							x		
209	Public Diplomacy Research, Monitoring, and Evaluation - Public Affairs Section (PAS) of the US Embassy Kabul	2015	2016	AFG	Middle East	Afghanistan	U.S. Department of State	x		Services provided by DevTech’s under this contract are necessary to assess achievement of PAS core public diplomacy objectives and to gather information for the design of future programs. The core PAS public diplomacy objectives, and examples of supporting programs and initiatives,  included: 1. Empower civil society;2. Counter Violent Extremism;3. Strengthen People-To-People Ties;4. Expand Media Outreach/Build Afghan Communication Capacity;In order to assess the PAS core public diplomacy objectives(above), the DevTech M&E Team provided a package of M&E services to meet the ongoing needs of PAS, which included: • Monitoring and evaluating programs implemented by PAS;• Monitoring and evaluating programs implemented by partners who receive funding through a robust grants program;• Monitoring public opinion and test messages and information products with a variety of Afghan audiences;• Monitor media in Afghanistan on television, print, electronic, radio and social media.				No	Monitoring and Evaluation~Security, Transparency, and Governance	Public-Diplomacy-Research-Mon	x	2349782.00	SAQMMA15F1342					x				
210	Consulting Support for Energy Training, MCC	2015	2016	USA	North America	USA	Millennium Challenge Corporation	x		In September 2015, DevTech Systems, Inc. (DevTech) was contracted by the Millennium Challenge Corporation (MCC) to conduct a series of power trainings with the objective to improve understanding and knowledge of MCC personnel about the power sector and contribute to sustainable skill transfer through appropriate and effective training and recommendations for continuous skill reinforcement. The aim of the trainings was to ensure that MCC staff achieve a basic understanding about the power sector, in particular the types of energy, policy, regulation and reform as well as monitoring and evaluation strategies that are unique to the sector. DevTech assembled an outstanding team of technical experts (energy, power, economics, policy, monitoring, and evaluation), communications and program management personnel to provide MCC with the necessary consulting support to produce training courses for the target audiences that are technically sound, comprehendible, interactive, and outcome and performance-based.	Hana Scheetz FreymillerMonitoring and EvaluationDepartment of Policy and EvaluationMillennium Challenge CorporationFranklin Court – 740C	freymillerhs@mcc.gov	Direct: (202) 521-3672Mobile: (202) 251-0476	No	Monitoring and Evaluation	Consulting-Support-for-Energy	x	54000.00	MCC-15-RFQ-0212									
211	EB Fiscal Transparency Innovation Fund	2016	2017	MDG, MWI	Africa	Madagascar, Malawi	U.S. Department of State	x	x	The FTIF program was created in FY 2012 to build technical capacity in governments that are willing to improve their FT as well as the ability of civil society to press for, analyze, and monitor government finances. The FTIF is co-managed by the Department of State’s Office of Monetary Affairs (OMA) and USAID's Bureau for Economic Growth, Education, and Environment (EB). Implementation activities, such as the recruitment and backstopping of Resident Advisors, are the responsibility of the U.S. Treasury (OTA). Annual reviews of the performance of governments receiving U.S. assistance are provided through yearly Fiscal Transparency Reports (FTR), to ensure that U.S. taxpayer money is used appropriately. The purpose of this Evaluation Report is to inform the development of mechanisms to support the State Department’s EB OMA FTIF program. The information provided in this report is intended to help improve the processes for selecting, monitoring, and measuring technical assistance (TA) efforts designed and implemented by U.S. diplomatic missions abroad, to build public and institutional support for strong FT regimes and to reinforce United States Government (USG) foreign assistance policy priorities.	Lauren McCaw	lmccaw@devtechsys.com		Yes	Monitoring and Evaluation~Public Financial Management and Fiscal Sustainability	EB-Fiscal-Transparency-Innovat	x	193015.00	SAQMMA-12-D-0084/ SAQMMA 16F5009									
212	Measuring Overall Impact of East Africa CVE	2016	2017	KEN, TZA	Africa	Kenya, Tanzania	U.S. Department of State	x		Under the Measuring the Overall Impact of East Africa CVE Initiative, DevTech is designing and conducting an evaluation of the FY15 Counterterrorism Partnership Fund (CTPF) Countering Violent Extremism (CVE) programs in Kenya and Tanzania to measure the overall effect of collective programming on reducing engagement in and recruitment into VE activities in East Africa. DevTech is conducting a quasi-experimental impact evaluation (IE), specifically difference-in-difference with propensity score matching (DID+PSM) to measure the overall impact of CTPF programs in select regions in Kenya and Tanzania. DevTech is currently identifying appropriate communities to serve as comparison groups in both countries that are similar to beneficiary communities in terms of household-level observable characteristics – religion, age, gender, annual expenditures, education level, and rural vs. non-rural – as well as specific observable regional characteristics including known presence of violent extremist organizations and recent attacks.	Lauren McCaw	lmccaw@devtechsys.com		Yes	Monitoring and Evaluation~Security, Transparency, and Governance	Measuring-Overall-Impact-of-Ea	x	773224.00	SAQMMA12D0084					x				
